"year","mismatchmean","mismatch20","mismatchmed","SurveyResiduals","JAN","FEB","MAR","Fem40p_haul_logit","Fem40p_fish_logit","Fem40p_wt_logit","Fem30p_haul_logit","Fem30p_fish_logit","Fem30p_wt_logit"
1995,17.410410157707,8.7346121160617,18.734612116062,0.0788553973862491,3.686,3.48,3.083,0.444370755193424,0.319900487506103,0.444370755193424,0.202286988039653,0.0408056611896436,0.202286988039653
1996,19.1410236186833,11.8969631236442,19.896963123644,0.193295159118984,4.42,3.53,3.675,-1.47159699462505,-1.22932264891592,-1.47159699462505,-1.53269306414283,-1.34493299362023,-1.53269306414283
1997,21.505947765104,15.2425742574257,21.2425742574257,0.266327451569017,3.888,3.524,3.456,-2.01728518944145,-1.73381695686516,-2.01728518944145,-2.42749434138547,-1.90095876119305,-2.42749434138547
1998,25.735042181304,17.8618998451213,24.861899845121,0.337747752590236,4.068,4.168,4.412,-2.13332237313391,-1.58208781290693,-2.13332237313391,-2.36348327520064,-2.30390580637114,-2.36348327520064
1999,NA,NA,NA,NA,4.42,3.181,2.463,NA,NA,NA,NA,NA,NA
2000,25.250426096306,16.5972670335927,26.597267033593,0.0406605376003366,3.27,2.706,3.365,-3.50395176457821,-3.41597238771946,-3.50395176457821,-3.78061619604555,-3.74899243611363,-3.78061619604555
2001,32.132706741175,23.1512775523632,35.151277552363,-0.236841015532919,4.637,4.593,4.466,-3.95491944254843,-3.59218772339256,-3.95491944254843,-4.78316512738953,-4.28399215910813,-4.78316512738953
2002,42.748667744758,37.931034482759,43.931034482759,-0.130137311278691,3.678,3.308,3.004,-5.1974920060556,-5.09334782679469,-5.1974920060556,-5.71052735350098,-5.42174102956922,-5.71052735350098
2003,34.447862685214,27.480039778378,34.480039778378,-0.0395141401672507,5.253,5.239,4.936,-4.58506850407855,-4.14476140426141,-6.37542558128021,-3.97131128163224,-4.21202612139557,-4.16448419785537
2004,27.889499810725,22.255635707845,28.255635707845,-0.0905001162919827,3.896,3.641,3.626,-2.82666771257742,-2.62256847138442,-2.88900037733417,-2.94443897916644,-2.80415611580967,-2.93604966821814
2005,17.548829368364,6.4766859646378,19.476685964638,-0.00931893031373754,4.691,4.286,4.19,-2.23673310168734,-2.48523169448451,-2.38013627873273,-2.25638650449841,-2.58056112293365,-2.40226686445987
2006,26.088832337456,18.7742697957116,26.774269795712,-0.260476097624158,4.676,3.531,3.208,-5.01406375364087,-4.58506850407855,-5.65148617115748,-5.07698668711717,-4.77108809431177,-5.74139933822751
2007,43.207798993679,39.868204283361,43.868204283361,-0.483531622160561,3.289,3.003,2.199,-5.27340168986503,-5.56894697390684,-5.355481690536,-5.39916772672798,-5.91179985439754,-5.355481690536
2008,43.887460669952,40.419917864476,44.419917864476,-0.811790467159135,3.358,2.821,2.798,-5.62321493792596,-5.25388308634187,-6.5698820614453,-6.16371572616089,-5.84014032884232,-7.13009851012558
2009,39.351435682346,34.648148148148,39.648148148148,-0.779505099556195,3.608,2.874,2.586,-2.95501549235384,-2.47122772466839,-3.10747425344647,-3.10017589567552,-2.79859771116411,-3.13465975254496
2010,30.63189427197,26.596741344196,31.596741344196,-0.274808697815399,4.145,3.705,3.414,-3.31678003984957,-3.17285793379917,-3.54348334216972,-3.87662551630285,-3.9992195504583,-4.1064113821229
2011,NA,NA,NA,NA,4.045,3.77,3.38,NA,NA,NA,NA,NA,NA
2012,NA,NA,NA,-0.671059969093969,2.999,2.317,2.117,-5.01406375364087,-5.27340168986503,-4.55549501493095,-5.10997773742852,-5.42174102956922,-4.60527119098792
2013,26.96336116378,23.284230106161,27.284230106161,0.258145775914898,3.89,3.807,3.482,-3.7313411292639,-3.20441276284065,-4.2260223861973,-3.78061619604555,-3.53982804402773,-4.29147364001829
2014,NA,NA,NA,0.383391966818838,4.752,4.405,3.949,-2.22759128311215,-2.36603035940373,-1.2592675800625,-2.15784941210139,-2.42481361072366,-1.21793531992781
2015,28.649492565804,22.73474801061,28.73474801061,0.0176672188721412,5.749,5.095,4.886,-2.31485654210574,-2.27045032623025,-2.57903409734328,-2.76222374314235,-2.62733136645596,-2.95077279111469
2016,NA,NA,NA,-0.254507083805718,5.248,5.157,5.108,-2.5444533368229,-2.1481951500959,-2.19057561667097,-3.00278976321485,-2.87704592196305,-2.65307070973674
2017,13.7527659529592,2.5796162471966,13.5796162471966,0.777284276680227,4.985,4.155,3.661,-0.870260981895652,-0.715430547625112,-0.759752516356332,-0.811363585670565,-0.693297184310321,-0.546400168445104
2018,NA,NA,NA,1.00951391997736,4.682,4.198,4.042,0.708637376744589,0.76944119223428,1.44546816389528,0.698251530330359,0.757450711683511,1.44806203438996
2019,21.8873561625384,4.2446808510638,16.2446808510638,1.11870808392785,4.936,4.493,4.733,-1.30574339422321,-1.33884537708913,-1.25810661552594,-1.39318359736114,-1.4242255834433,-1.30038636227649
2020,NA,NA,NA,0.301257119406042,4.631,3.406,3.113,-2.85740116708158,-2.89704162540527,-2.53854237159096,-3.07145937922104,-3.14724424620475,-2.82856413872492
2021,NA,NA,NA,-0.0216699612602334,4.406,4.083,3.629,-2.44370650701609,-3.43895358820577,-2.44370650701609,-3.35597650764695,-3.9823847028511,-3.35597650764695
